,Address,Price,Bed,Bath,SQFT,Lot Sqft,Description,latitude,longitude,Listing URL,Type of Home,Picture,Street,City,State,Zip Code
12,"7225 Brick Slope Path, Austin, TX 78744","$509,000",3,25,2100,7361,"*  * Contact 2nd Agent for questions and offers - Melody Rodela, 512-925-2881 - Melody@srgaustin.com *  *  Nestled within one of Austin&rsquo;s most sought-after neighborhoods, this Easton Park home offers an open floor plan featuring a light-filled great room with sight lines to the spacious kitchen and living room. 3 bedrooms with primary on main level, 2 and a half bathrooms, creating the perfect separation for both entertaining and winding down. Additional updates include custom built-ins in the living room oversized walk in closets, additional storage room through pantry, updated electrical fixtures, tile throughout the main level and sliding doors for smooth transition from indoor to ",30.3921099,-97.8032058,https://www.redfin.com/TX/Austin/8305-Elander-Dr-78750/home/31310404,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/969215_JPG/genDesktopMapHomeCardUrl/item_1.jpg,7225 Brick Slope Path, Austin,TX,78744
13,"3303 Santa Fe Dr, Austin, TX 78741","$545,000",4,2,1400,025,"Great investment opportunity. 4 Bedroom home in sought after Parker Lane neighborhood. Highly successful AirBNB ($85,000 in income in 2023). Residents enjoy the short 10 minute drive to downtown and the freedom of being in a neighborhood with no HOA. Oversized lot with lots of potential to expand. Each room upgraded and comfortable. Furniture also available. Easy access to I35 and 71 meaning very short drive to Downtown and Austin Airport.",30.4127315,-97.7344947,https://www.redfin.com/TX/Austin/11720-Running-Fox-Trl-78759/home/31545783,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/969215_JPG/genDesktopMapHomeCardUrl/item_4.jpg,3303 Santa Fe Dr, Austin,TX,78741
14,"8305 Elander Dr, Austin, TX 78750","$1,000,000",5,35,3444,034,"An amazing opportunity in the popular Jester Estate!  This executive home offers 4 bedrooms, 3.5 baths, 3 car garage with solar systems, oversized gameroom, flexible family room, the living room to look out the beautiful backyard, stone fireplace, formal dining, and solar systems!  One bedroom is downstairs with full bath, perfect for your guests!  Gourmet kitchen comes with upgraded 42&quot; oak cabinets, stainless appliances, granite countertop, breakfast bar and tile backsplash, the spacious master suite comes with jacuzzi tub, separate shower with frameless glass, the closet even has a huge window to let the light in, all secondary bedrooms come in generous size, the lush backyard is su",30.253656,-97.7111219,https://www.redfin.com/TX/Austin/201-Broadway-St-78702/home/189610368,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/969215_JPG/genDesktopMapHomeCardUrl/item_36.jpg,8305 Elander Dr, Austin,TX,78750
15,"11720 Running Fox Trl, Austin, TX 78759","$450,000",3,2,1504,7470,"Welcome to your dream home in the highly sought-after Mesa Park neighborhood of Austin, TX! This beautiful 3-bedroom, 2-bathroom residence spans 1,504 square feet and offers a perfect blend of comfort, style, and convenience. Step into the inviting living room, featuring a vaulted ceiling with an elegant ceiling beam and dual skylights that bathe the space in natural light. The wood-burning fireplace serves as a cozy focal point, perfect for relaxing evenings. Enjoy the beauty and durability of laminate floors throughout the home, complemented by tile in the kitchen, dining area, and bathrooms. The kitchen and dining room are designed with functionality in mind, boasting updated light fixtu",30.3639937,-97.6177283,https://www.redfin.com/TX/Austin/5605-Malcom-Trl-78754/home/32315521,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/870/genIslnoResize.2967870_0.jpg,11720 Running Fox Trl, Austin,TX,78759
16,"201 Broadway St, Austin, TX 78702","$1,699,900",4,3,2468,6124,"Luxury, urban living with Downtown views. Welcome to this masterpiece crafted by the award-winning builder, Next Custom Homes, in one of Austin's most coveted neighborhoods. Within walking distance to the Lustre Pearl, Praxis Coffee Roasters, Intero, and Kemuri Tatsu-Ya, this stunning luxury home is nestled just minutes away from the vibrant heart of Downtown. This contemporary residence, awarded by the Home Builder's Association as &quot;Best Urban House&quot; and &quot;Best Kitchen, &quot; boasts the finest high-end finishes that have been handpicked to create an ambiance of refined luxury throughout. The centerpiece of this 2,411-square-foot home is its exceptional chef's kitchen, equipp",30.1782603,-97.8245464,https://www.redfin.com/TX/Austin/2200-Tanglevine-Dr-78748/home/31810875,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/870/genIslnoResize.2967870_1_0.jpg,201 Broadway St, Austin,TX,78702
18,"5605 Malcom Trl, Austin, TX 78754","$395,000",4,2,1798,033,"Completely redone one story 4/2/2 in Stirling Bridge. Quiet cul-de-sac with great neighbors. With a HUGE gentle slope . 32+ acre lot that backs to greenbelt. Room for the kids' softball game! Architectural details throughout, including rounded corners, arched entry ways, and coffered ceilings in living/master. Formal dining area and open kitchen to family room w/ center island. Garden tub, separate shower, walk in closet, and double vanity in master. 2-car garage with wiring for EV charger and a finished out attic for storage. High end finishes and updates everywhere! Brand new in 2024: wide plank engineered hardwood floors throughout and large format tile in the bathrooms; paint and trim; ",30.3079301,-97.6540856,https://www.redfin.com/TX/Austin/7006-Brook-Valley-Cir-78724/home/31434324,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/108/genIslnoResize.7315108_0.jpg,5605 Malcom Trl, Austin,TX,78754
19,"2200 Tanglevine Dr, Austin, TX 78748","$660,000",3,2,1652,9814,"* 1% interest rate reduction with preferred lender *  Upgrade your lifestyle with this professionally renovated 3-bedroom, 2-bathroom, 1,652 sqft home nestled on a quiet cul-de-sac in South Austin. Step inside to find a spacious open floor plan with a fully remodeled kitchen featuring a waterfall island made from imported Greek Carrara marble, complemented by white oak floors throughout the home. The living room features impressive double-height 14 ft ceilings, while the additional living areas boast 10ft ceilings. Recently installed energy-efficient windows throughout the entire home fill the space with natural light. Significant updates include siding, insulation, and upgraded energy-effi",30.1712097,-97.9899735,https://www.redfin.com/TX/Austin/139-Bright-Sky-Dr-78737/home/172057563,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/108/genIslnoResize.7315108_1_0.jpg,2200 Tanglevine Dr, Austin,TX,78748
20,"2124 E 6th St #204, Austin, TX 78702","$489,000",1,1,958,,"Experience the ultimate urban lifestyle in the heart of East Austin at Twentyone24 Condos. Located at the corner of East 6th Street and Robert T Martinez, Unit 204 offers an unparalleled opportunity to immerse yourself in one of Austin's most vibrant neighborhoods. With some of the city's best local eateries, boutique shops, and entertainment venues right at your doorstep, this condo places you in the midst of all the action while still providing a serene retreat. Living at Twentyone24 Condos means enjoying the convenience of excellent walkability, whether you're exploring the eclectic Eastside or hopping on the nearby Saltillo Plaza metro rail station for a quick trip downtown or to North ",30.2454966,-97.5833605,https://www.redfin.com/TX/Austin/4707-Castleman-Dr-78725/home/31620668,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/108/genIslnoResize.7315108_38_0.jpg,2124 E 6th St #204, Austin,TX,78702
21,"7006 Brook Valley Cir, Austin, TX 78724","$439,999",3,25,1536,026,"Beautifully updated two-story home tucked away on a cul de sac in a quiet neighborhood in East Austin! Huge retail development coming to the area, so also a great investment. Enjoy dining al fresco on the back deck that leads to an expansive backyard, perfect for hosting. Plenty of space to add an ADU or pool, the options are endless with the large outdoor space! Conveniently located off HWY 183  &amp;  290, just minutes from schools, parks/greenbelt, Mueller, and the soon-to-be-completed Colony Park District. Only 6 miles to Downtown Austin, you'll be central without the bustle. This beautiful home was filmed for HGTV's House Hunters. Please contact me at alan@openhouseaustin.com with ques",30.3888468,-97.8487882,https://www.redfin.com/TX/Austin/6201-River-Place-Blvd-78730/unit-9/home/31078786,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/085/genIslnoResize.8779085_0.jpg,7006 Brook Valley Cir, Austin,TX,78724
22,"139 Bright Sky Dr, Austin, TX 78737","$999,999",4,35,3593,030,"Nestled in the highly sought-after Highpointe community, this stunning one-story Perry Home offers an unparalleled living experience. As a former Perry Homes Model Home, it showcases exquisite design and attention to detail across its spacious 3,593 square feet. The home features 4 bedrooms and 3.5 bathrooms, providing ample space. The gated community of Highpointe ensures privacy and security, complemented by a state-of-the-art security system within the home. Residents can enjoy an array of amenities, including a pool, park, trails, gym, playgrounds, and a baseball field. The home itself boasts a modern sprinkler system and a generous 4-car garage, making it as functional as it is beautif",30.1831705,-97.758481,https://www.redfin.com/TX/Austin/2325-Rockridge-Dr-78744/home/31788779,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/085/genIslnoResize.8779085_1_0.jpg,139 Bright Sky Dr, Austin,TX,78737
23,"4707 Castleman Dr, Austin, TX 78725","$295,000",3,2,1405,5401,"Step into your new home at 4707 Castleman! This delightful 1,405 square foot gem offers 3 cozy bedrooms and 2 modern bathrooms, nestled in the welcoming community of Austin's Colony. Located just off Toll 130, you'll find yourself close to the exciting new Tesla facility and the expansive Walter E. Long Park, soon to be completely transformed into the city's premier outdoor destination. As you enter, you'll be greeted by a bright, open floor plan that effortlessly connects the living and dining areas&mdash;perfect for hosting friends and family. The beautiful flooring throughout adds warmth and style to every room. Your master suite is a true retreat, featuring a luxurious double vanity and",30.2386941,-97.7831093,https://www.redfin.com/TX/Austin/3406-Menchaca-Rd-78704/unit-43/home/31065826,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/085/genIslnoResize.8779085_27_0.jpg,4707 Castleman Dr, Austin,TX,78725
24,"6201 River Place Blvd #9, Austin, TX 78730","$600,000",2,25,1963,,"Gorgeous luxury craftsman-style home tucked away in West Austin&rsquo;s exquisite Ranch at River Place Condos community. Nestled in a dreamy cul-de-sac community, this home backs to private property with no direct back neighbor. The exterior boasts lush HOA maintained landscaping, stone and stucco finishes, craftsman accents, a custom knotty wood front door, and a welcoming pillared front porch. Step inside to discover a gorgeous open floor plan lined with windows that showcase the natural surroundings and infuse the home in peaceful natural light. Impressive wow factor with cathedral ceilings, a beautifully framed fireplace, and tastefully selected tile plank flooring. The contemporary kit",30.293596,-97.6922,https://www.redfin.com/TX/Austin/3111-Schutze-St-78723/home/169748157,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/804/genIslnoResize.3271804_0.jpg,6201 River Place Blvd #9, Austin,TX,78730
25,"2325 Rockridge Dr, Austin, TX 78744","$395,000",3,2,1440,7331,"&quot;Own this beautifully renovated 3-bedroom, 2-bath home in the heart of Austin with flexible financing options! This home is wired for Google Fiber, ensuring you have lightning-fast internet right at your fingertips. With 180 sq. ft. of additional living space, the total square footage exceeds 1,700, providing ample room for comfort and functionality. Plus, there's an additional 170 sq. ft. separate building with electricity that can serve as extra storage, a workshop, or even a cozy she-shed. Take advantage of our owner financing with a 30-year amortization and a 3-year balloon payment, offering you the convenience of a mortgage with the flexibility to refinance or pay off early. Don&r",30.1863797,-97.9936444,https://www.redfin.com/TX/Austin/470-Brentwood-Dr-78737/home/161442556,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/804/genIslnoResize.3271804_1_0.jpg,2325 Rockridge Dr, Austin,TX,78744
26,"3406 Menchaca Rd #43, Austin, TX 78704","$685,000",2,25,1622,3772,"Welcome to this beautifully remodeled 2 bedroom, 2.5-bathroom townhouse in the highly sought-after South Lamar District. With 1622 square feet of living space, this charming home offers the perfect blend of comfort and convenience. As you step inside, you'll be greeted by the warm and inviting atmosphere of the open concept living area, complete with new carpet and high-end laminate flooring on the first floor. The kitchen has been fully remodeled with modern features, including white quartz countertops, new appliances, and sleek lighting. Each bedroom has a private bathroom attached and walk-in closets. The second floor has open second living space and private balcony. The primary bathroom",30.29361,-97.691638,https://www.redfin.com/TX/Austin/3125-Schutze-St-78723/home/169748164,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/804/genIslnoResize.3271804_21_0.jpg,3406 Menchaca Rd #43, Austin,TX,78704
28,"3111 Schutze St, Austin, TX 78723","$821,145",3,25,2496,,"The first floor of this two-story home opens into a shared living space between the kitchen, dining room and living room for easy entertaining with access to a patio for outdoor lounging. Upstairs are two secondary bedrooms and a versatile flex space that can easily serve as an office or TV viewing area, depending on the household's needs. An owner's suite is at the front of the second floor and enjoys an en-suite bathroom, double walk-in closets and a private balcony.",30.2694678,-97.8089329,https://www.redfin.com/TX/Austin/3404-Peregrine-Falcon-Dr-78746/home/31212763,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/503/genIslnoResize.4352503_1_0.jpg,3111 Schutze St, Austin,TX,78723
29,"470 Brentwood Dr, Austin, TX 78737","$1,150,000",4,4,4035,037,"* 1% interest rate reduction with Preferred Lender *  Situated on a quiet street in Belterra with no neighbors behind, this expansive home perfectly blends modern luxury and Hill Country tranquility. Upon entry, the foyer leads to an open-concept living, kitchen, and dining. Features include wide plank wood floors, shiplap accent walls, modern fixtures, and large windows that bathe the space in natural light. A cozy fireplace warms the living room while the stunning kitchen boasts a large center island, quartz countertops, gas cooktop, and a double wall oven. A spacious playroom and an office offer plenty of space for both work and play. The primary suite on the main floor is a luxurious re",30.3289101,-97.871668,https://www.redfin.com/TX/Austin/9700-Westward-Dr-78733/home/31250578,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/503/genIslnoResize.4352503_29_0.jpg,470 Brentwood Dr, Austin,TX,78737
30,"3125 Schutze St, Austin, TX 78723","$824,910",3,25,2496,,"The first floor of this two-story home opens into a shared living space between the kitchen, dining room and living room for easy entertaining with access to a patio for outdoor lounging. Upstairs are two secondary bedrooms and a versatile flex space that can easily serve as an office or TV viewing area, depending on the household's needs. An owner's suite is at the front of the second floor and enjoys an en-suite bathroom, double walk-in closets and a private balcony.",30.1633184,-97.8192206,https://www.redfin.com/TX/Austin/1201-Diggy-Dr-78748/home/169737567,SingleFamilyResidence,NaN,3125 Schutze St, Austin,TX,78723
31,"8601 Ganttcrest Dr, Austin, TX 78749","$699,701",4,35,2117,9452,"Welcome to this beautifully designed home located in the highly sought-after neighborhood of Western Oaks in South Austin. This property offers an ideal blend of elegance and functionality, perfect for modern family living. As you enter, you are greeted by high ceilings and a formal living room complete with a cozy fireplace, setting the tone for warmth and sophistication. The adjacent dining area makes entertaining a breeze. The family room is bathed in natural light thanks to the numerous windows, creating an inviting and bright atmosphere. The large island kitchen is a chef&rsquo;s dream, featuring granite countertops and ample space for cooking and gathering. From both the kitchen and l",30.2788165,-97.7897652,https://www.redfin.com/TX/West-Lake-Hills/419-Ridgewood-Rd-78746/home/31222255,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/515/genIslnoResize.8194515_0.jpg,8601 Ganttcrest Dr, Austin,TX,78749
32,"3404 Peregrine Falcon, Austin, TX 78746","$3,390,000",5,4,3801,029,"Paradisa invites you to our newest Westlake retreat that exudes elegance and offers a luxurious living experience. Peregrine Falcon presents a unique combination of spaciousness, modern amenities, and sophisticated design. Upon entering, you are greeted by the expansive living area. This inviting space boasts a cozy fireplace that creates a warm ambiance during cooler evenings. Large windows flood the room with natural light, showcasing the home's tasteful finishes and attention to detail. The full gourmet kitchen is a chef's dream, equipped with Thermador professional appliances and featuring a wine tower to store and display your prized collection. With ample counter space and a center is",30.4566937,-97.8018466,https://www.redfin.com/TX/Austin/12306-Double-Tree-Ln-78750/home/32781681,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/515/genIslnoResize.8194515_1_0.jpg,3404 Peregrine Falcon, Austin,TX,78746
33,"9700 Westward Dr, Austin, TX 78733","$850,000",4,3,2532,046,"Welcome to your dream home in hidden neighborhood of Cuernavaca! Nestled in the heart of Austin's best rated school district, Eanes ISD. This spacious home offers the perfect blend of comfort, convenience, and modern living. Enjoy endless outdoor activities in your huge backyard and be located close to Lake Travis boat ramps, Westlake Village, and the Hillcountry Galleria! Access to top-rated schools in the area - Eanes Elementary, West Ridge MS, and Westlake HS, all without the constraints of a mandatory HOA. Equipped with 30 solar panels, this home dramatically reduces your electricity bills, making it both eco-friendly and cost-effective. The A/C unit, less than 4 years old and maintaine",30.480957,-97.7900621,https://www.redfin.com/TX/Austin/13800-Lyndhurst-St-78717/unit-283/home/108591096,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/515/genIslnoResize.8194515_30_0.jpg,9700 Westward Dr, Austin,TX,78733
34,"1201 Diggy Dr, Austin, TX 78748","$475,000",3,25,1757,4573,"Imagine living in a tranquil, modern, energy friendly community in a pristine home with an open floor plan and lots of windows overlooking a lush back yard, landscaped for privacy. Hot tub for relaxing. On the main level the large open area boasts a beautiful kitchen with a gas range, a large island and spacious living area with a powder room. Three bedrooms, two baths and the laundry are on second floor. Solar panels are leased. No carpet. Bonus storage space in the garage. A scant 20 minutes to downtown, near Mary Moore Searight Park, and Manchaca destinations such as Moontower Salon, Lustre Pearl, Armadillo Den. Come take a look!",30.2542032,-97.8364549,https://www.redfin.com/TX/Austin/4217-Kachina-Dr-78735/home/31202275,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/324/genIslnoResize.1037324_1.jpg,1201 Diggy Dr, Austin,TX,78748
35,"419 Ridgewood Rd, West Lake Hills, TX 78746","$1,625,000",4,25,1967,025,"This Ridgewood property presents an outstanding opportunity to remodel or build your dream home in one of Austin&rsquo;s most desirable neighborhoods. Situated on a beautiful, flat lot with mature trees, the property is perfectly positioned for easy access to top-rated schools, shopping, dining, and entertainment. The current owners have collaborated with Moontower, one of Austin's premier design-build architecture firms, to create a perfect floor plan&mdash;offering a seamless path for buyers who wish to continue the project. Whether you're envisioning a permanent residence, a vacation retreat, or an investment property, this versatile site in a prime location is not to be missed. Buyers a",30.4469419,-97.7453412,https://www.redfin.com/TX/Austin/Undisclosed-address-78729/home/31345861,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/324/genIslnoResize.1037324_1_1.jpg,419 Ridgewood Rd, West Lake Hills,TX,78746
36,"12306 Double Tree Ln, Austin, TX 78750","$479,999",4,2,1409,6433,"Looking for a home that has it all? You may have found it! Perfect for those who love convenience, outdoor activities, and top-rated schools. Let's talk about the community. Situated in the coveted Round Rock ISD and highly rated Westwood High School, this home offers access to excellent education, a great investment and a vibrant community. Enjoy a lifestyle filled with outdoor fun&mdash;hiking and biking trails, a children&rsquo;s playground, splash pads, dog park, tennis courts, and a community pool are all just minutes away. Nearby El Salido and Harper Parks feature dog parks and scenic walking paths, perfect for active living. Commuting is a breeze with easy access to HW 620, 183, and ",30.3746188,-97.7435163,https://www.redfin.com/TX/Austin/3614-Serena-Woods-Ct-78759/home/31518936,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/324/genIslnoResize.1037324_23_0.jpg,12306 Double Tree Ln, Austin,TX,78750
37,"13800 Lyndhurst St #283, Austin, TX 78717","$399,000",3,25,1769,,"Easy lock  &amp;  leave in a prime NW Austin location. Two level townhouse style condo. First level: kitchen open to the dining and living areas, tile throughout, 1/2 bathroom, and a rear entry 2 car attached garage. Second level: 3 bedrooms and 2 bathrooms including the primary (spacious bedrooms), landing area, and laundry room. New paint. Gated community. Amazing location with easy access to HWY 183, HWY 45, and Parmer Lane.",30.2321089,-97.8571952,https://www.redfin.com/TX/Austin/6405-Ridge-Oak-Rd-78749/home/31707165,SingleFamilyResidence,https://ssl.cdn-redfin.com/photo/92/islphoto/205/genIslnoResize.2482205_0.jpg,13800 Lyndhurst St #283, Austin,TX,78717
