,Address,Price,Bed,Bath,SQFT,Description,latitude,longitude,Listing URL,Picture,Street,City,State,Zip Code
92,"3110 Caleb Dr, Austin, TX 78725","$1,985/mo",3 beds,2 baths,"1,503 sq ft","Vacant, TEXT@7379907746 to agent, then GO. Convenient location, close to major shopping and employers, gorgeous 4 bed 2 bath single Story home.",30.229936,-97.5897176,https://www.redfin.com/TX/Austin/3110-Caleb-Dr-78725/home/31027317,https://ssl.cdn-redfin.com/photo/rent/43b1822b-6c07-4bed-a45b-dbbe7b4b189e/islphoto/genIsl.25_1.jpg,3110 Caleb Dr, Austin,TX,78725
93,"3303 Crownover St, Austin, TX 78725","$1,850/mo",4 beds,2 baths,"1,448 sq ft","All Bills Included. Two Rooms with Bathroom, shared common areas in South East Austin near South Park Meadows. No pets. Single Individual or Couple only. Amazing 2 bedrooms, 1 bathroom house in Austin",30.2303938,-97.5878506,https://www.redfin.com/TX/Austin/3303-Crownover-St-78725/home/31027284,https://ssl.cdn-redfin.com/photo/rent/f6b3f325-6e57-4251-9337-2d2768768f1e/islphoto/genIsl.0_1.jpg,3303 Crownover St, Austin,TX,78725
94,"6625 Doyal Dr, Austin, TX 78747","$1,900/mo",3 beds,2 baths,"1,343 sq ft","Luxury living awaits you in Estates at Grandview Hills with panoramic views from the indoor & outdoor living areas! The property also includes a beautiful CASITA/GUEST HOUSE w/ a separate entrance, 2 ",30.1532768,-97.7419461,https://www.redfin.com/TX/Austin/6625-Doyal-Dr-78747/home/30992105,https://ssl.cdn-redfin.com/photo/rent/f6b3f325-6e57-4251-9337-2d2768768f1e/islphoto/genIsl.1_1.jpg,6625 Doyal Dr, Austin,TX,78747
95,"11309 Bachman Dr, Austin, TX 78754","$2,300/mo",4 beds,2 baths,"2,029 sq ft","Olympic Heights home with 3 bedrooms, 2 baths. Master with tub/shower and walk in closets. 2-car garage, fenced-in back yard. Conveniently located near shopping, schools and downtown area.  To review ",30.3694263,-97.6488869,https://www.redfin.com/TX/Austin/11309-Bachman-Dr-78754/home/109912221,https://ssl.cdn-redfin.com/photo/rent/f6b3f325-6e57-4251-9337-2d2768768f1e/islphoto/genIsl.34_1.jpg,11309 Bachman Dr, Austin,TX,78754
96,"7025 Doyal Dr, Austin, TX 78747","$1,000/mo",2 beds,1 bath,— sq ft,"This charming single-family home is located in the heart of Austin. Just 10 minutes drive to downtown. Kitchen was beautifully remodeled in 2022, offering modern amenities and a stylish design. Exteri",30.1513153,-97.7378051,https://www.redfin.com/TX/Austin/7025-Doyal-Dr-78747/home/30982402,https://ssl.cdn-redfin.com/photo/rent/baa5a099-bf81-449e-b403-d2e6773ea8c6/islphoto/genIsl.0_1.jpg,7025 Doyal Dr, Austin,TX,78747
97,"12529 Verandah Ct, Austin, TX 78726","$9,000/mo",6 beds,6 baths,"5,147 sq ft","Practical 4 Bedroom, 2.5 Bath, 2-Story Home in Pflugerville ~ 1-Car Garage ~ Bonus, Open Front Room ~ Classic Living Room w/ Half Bath ~ Large Eat-In Kitchen w/ Pantry Space & Stainless Fridge ~ Gener",30.4266522,-97.8591446,https://www.redfin.com/TX/Austin/12529-Verandah-Ct-78726/home/30965744,https://ssl.cdn-redfin.com/photo/rent/baa5a099-bf81-449e-b403-d2e6773ea8c6/islphoto/genIsl.1_1.jpg,12529 Verandah Ct, Austin,TX,78726
98,"2210 Billy Fiske Ln, Austin, TX 78748","$2,200/mo",3 beds,2 baths,"1,346 sq ft","Discover this beautiful 4-bedroom, 2.5-bath home located in a serene cul-de-sac in the heart of Pflugerville. This spacious property features a 2-car garage and offers a perfect blend of comfort and s",30.1528097,-97.8388139,https://www.redfin.com/TX/Austin/2210-Billy-Fiske-Ln-78748/home/30959925,https://ssl.cdn-redfin.com/photo/rent/baa5a099-bf81-449e-b403-d2e6773ea8c6/islphoto/genIsl.15_1.jpg,2210 Billy Fiske Ln, Austin,TX,78748
99,"3302 Dolphin Dr, Austin, TX 78704","$2,450/mo",3 beds,1 bath,840 sq ft,"Neat, Clean 1 story 3/2 vacant and ready for move in!",30.2368087,-97.7749822,https://www.redfin.com/TX/Austin/3302-Dolphin-Dr-78704/home/31696967,https://ssl.cdn-redfin.com/photo/rent/6081380c-4a74-4939-b7b4-f24643a1b70f/islphoto/genIsl.1_1.jpg,3302 Dolphin Dr, Austin,TX,78704
100,"13727 Merseyside Dr, Pflugerville, TX 78660","$2,150/mo",4 beds,2.5 baths,"2,199 sq ft","LOCATION, LOCATION, LOCATION!  **The landlord is including lawn care in the monthly rent.  Lightly lived-in home available for lease in the desirable Preston Village of North Austin. This home is situ",30.4146039,-97.6503036,https://www.redfin.com/TX/Pflugerville/13727-Merseyside-Dr-78660/home/31019395,https://ssl.cdn-redfin.com/photo/rent/6081380c-4a74-4939-b7b4-f24643a1b70f/islphoto/genIsl.2_1.jpg,13727 Merseyside Dr, Pflugerville,TX,78660
101,"808 Flatters Way, Pflugerville, TX 78660","$1,990/mo",4 beds,2.5 baths,"1,736 sq ft","This lovely 3 bedroom, 2 bath bungalow nestled in Pioneer Crossing boasts modern furnishings and a large open concept living and dining space. Check out this homes spacious master bedroom and large ki",30.4167801,-97.6451921,https://www.redfin.com/TX/Pflugerville/808-Flatters-Way-78660/home/31019376,https://ssl.cdn-redfin.com/photo/rent/6081380c-4a74-4939-b7b4-f24643a1b70f/islphoto/genIsl.22_1.jpg,808 Flatters Way, Pflugerville,TX,78660
102,"9213 Pioneer Forest Dr, Austin, TX 78744","$2,200/mo",3 beds,2 baths,"1,492 sq ft","Location! Location! A Hidden Treasure in a sought after community, within 15 minutes to downtown, minutes to Domain, Dell, Samsung, Apple...Walk distance to community pool, playground. Rarely found Hi",30.1601983,-97.781,https://www.redfin.com/TX/Austin/9213-Pioneer-Forest-Dr-78744/home/30991989,https://ssl.cdn-redfin.com/photo/rent/470ce61d-3043-44ee-a621-4c754193cb19/islphoto/genIsl.0_1.jpg,9213 Pioneer Forest Dr, Austin,TX,78744
103,"3805 Dover Ferry Xing, Austin, TX 78728","$2,350/mo",3 beds,2.5 baths,"1,819 sq ft","Beautiful 3/2.5/2 two story with two living areas, Country kitchen with all appliances including refrigerator and washer/dryer, across the street from community park, Amenities included community club",30.4697407,-97.6812857,https://www.redfin.com/TX/Austin/3805-Dover-Ferry-Xing-78728/home/109895203,https://ssl.cdn-redfin.com/photo/rent/470ce61d-3043-44ee-a621-4c754193cb19/islphoto/genIsl.1_1.jpg,3805 Dover Ferry Xing, Austin,TX,78728
104,"11620 Larch Valley Dr, Austin, TX 78754","$2,700/mo",3 beds,2 baths,"1,636 sq ft","3 Bedroom, 2.5 Bath Home in North Austin ~ Quartz Counters and Island in Kitchen ~ Hardwood, Tile, & Carpet Floors ~ Master Downstairs with Walk-in Closet & Walk-in Shower ~ Covered Patio ~ 2 Car Gara",30.376941,-97.654109,https://www.redfin.com/TX/Austin/11620-Larch-Valley-Dr-78754/home/31019235,https://ssl.cdn-redfin.com/photo/rent/470ce61d-3043-44ee-a621-4c754193cb19/islphoto/genIsl.35_1.jpg,11620 Larch Valley Dr, Austin,TX,78754
105,"11700 Larch Valley Dr, Austin, TX 78754","$2,100/mo",3 beds,2 baths,"1,858 sq ft","Don't miss out on this awesome 2-story home in South Austin! Brand new flooring (June 2024) NO CARPET! Spacious, open concept layout, the large kitchen is filled with natural light, plus it includes a",30.377083,-97.6540029,https://www.redfin.com/TX/Austin/11700-Larch-Valley-Dr-78754/home/31019234,https://ssl.cdn-redfin.com/photo/rent/fdeedfd1-36f2-4ec7-9adf-b17f9c2a5754/islphoto/genIsl.0_1.jpg,11700 Larch Valley Dr, Austin,TX,78754
106,"11705 Jim Ryun Ln, Austin, TX 78748","$2,250/mo",3 beds,2.5 baths,"1,439 sq ft","Big make ready coming! Quality, location and Value! 2005 Construction, one story home with 3 bedrooms PLUS study/office room, 2 full baths. Upgraded high tech shower system in master bathroom which al",30.1511155,-97.8410168,https://www.redfin.com/TX/Austin/11705-Jim-Ryun-Ln-78748/home/30989821,https://ssl.cdn-redfin.com/photo/rent/fdeedfd1-36f2-4ec7-9adf-b17f9c2a5754/islphoto/genIsl.1_1.jpg,11705 Jim Ryun Ln, Austin,TX,78748
107,"16012 Remington Reserve Way, Austin, TX 78728","$2,270/mo",3 beds,2.5 baths,"1,819 sq ft","Nice 3 bedroom home within minutes of downtown and right down from Emo's East, South Shore District and the new Oracle Campus. This home features a large kitchen with lots of counter space, fenced bac",30.4676262,-97.6820774,https://www.redfin.com/TX/Austin/16012-Remington-Reserve-Way-78728/home/109905421,https://ssl.cdn-redfin.com/photo/rent/fdeedfd1-36f2-4ec7-9adf-b17f9c2a5754/islphoto/genIsl.27_1.jpg,16012 Remington Reserve Way, Austin,TX,78728
108,"7028 Doyal Dr, Austin, TX 78747","$1,950/mo",3 beds,2.5 baths,"1,560 sq ft","Wonderful Taylor Morrison home with many custom upgrades, in newer Austin neighborhood. Kitchen has breakfast bar and opens to family room. Fabulous master suite with double vanity, garden tub, separa",30.1516581,-97.7374421,https://www.redfin.com/TX/Austin/7028-Doyal-Dr-78747/home/30982390,https://ssl.cdn-redfin.com/photo/rent/e1e317a6-1422-4bcf-829d-39fb0ee5d0cd/islphoto/genIsl.0_2.jpg,7028 Doyal Dr, Austin,TX,78747
109,"7305 Cilantro Way, Austin, TX 78741","$2,600/mo",3 beds,2 baths,"1,586 sq ft","Welcome to this stunning two-story home, featuring a combination of tile and carpet flooring that adds both elegance and comfort.The fully equipped kitchen includes modern appliances such as an oven, ",30.2214944,-97.6936112,https://www.redfin.com/TX/Austin/7305-Cilantro-Way-78741/home/31057705,https://ssl.cdn-redfin.com/photo/rent/e1e317a6-1422-4bcf-829d-39fb0ee5d0cd/islphoto/genIsl.1_2.jpg,7305 Cilantro Way, Austin,TX,78741
110,"1704 Poppy Seed Ln, Austin, TX 78741","$2,100/mo",3 beds,2 baths,"1,203 sq ft","This stunning 3-bedroom, 2-bathroom single-family house is now available for lease in Austin. Enjoy a large, open living space with plenty of natural light. Perfect for relaxing with family or enterta",30.2225731,-97.6944202,https://www.redfin.com/TX/Austin/1704-Poppy-Seed-Ln-78741/home/31057617,https://ssl.cdn-redfin.com/photo/rent/e1e317a6-1422-4bcf-829d-39fb0ee5d0cd/islphoto/genIsl.31_2.jpg,1704 Poppy Seed Ln, Austin,TX,78741
111,"2100 E 2nd St, Austin, TX 78702","$1,965/mo",1 bed,1 bath,640 sq ft,"** Fresh paint and brand-new flooring! ** This 3 bedroom, 2 bathroom home is not far from downtown with easy access to I35. The home has an open floor plan. The living room opens to the kitchen which ",30.2571343,-97.7210604,https://www.redfin.com/TX/Austin/2100-E-2nd-St-78702/home/31367072,https://ssl.cdn-redfin.com/photo/rent/a0afbfdf-1eba-4512-81a9-74d4d862f719/islphoto/genIsl.0_2.jpg,2100 E 2nd St, Austin,TX,78702
112,"1808 Shaker Trl, Austin, TX 78754","$2,395/mo",4 beds,3 baths,"2,072 sq ft","Welcome to 5608 Steven Creek Way, a stunning 2-story residence located in the vibrant city of Austin, TX 78721! As you step inside, you'll be greeted by a seamless combination of concrete, hardwood, a",30.3764812,-97.6521492,https://www.redfin.com/TX/Austin/1808-Shaker-Trl-78754/home/31019088,https://ssl.cdn-redfin.com/photo/rent/a0afbfdf-1eba-4512-81a9-74d4d862f719/islphoto/genIsl.1_2.jpg,1808 Shaker Trl, Austin,TX,78754
113,"14401 Lake Victor Dr, Pflugerville, TX 78660","$2,299/mo",4 beds,2.5 baths,"2,010 sq ft","AWESOME HOME IN SUPER CONVENIENT LOCATION, ONLY MINUTES FROM DOWNTOWN, ENTERTAINMENT, HIGHWAYS & MUCH MORE! WIDE OPEN FLOOR PLAN W/FIREPLACE, HIGH CEILINGS, WOOD LAMINATE FLOORS, GAS RANGE & LOTS OF S",30.4299448,-97.6624327,https://www.redfin.com/TX/Pflugerville/14401-Lake-Victor-Dr-78660/home/31172023,https://ssl.cdn-redfin.com/photo/rent/a0afbfdf-1eba-4512-81a9-74d4d862f719/islphoto/genIsl.27_2.jpg,14401 Lake Victor Dr, Pflugerville,TX,78660
114,"1124 Emmitt Run, Austin, TX 78721","$2,200/mo",3 beds,2 baths,"1,025 sq ft","Located at 504 Colonial Park Boulevard, this beautifully maintained home offers both comfort and convenience in one of Austin's most sought-after neighborhoods. This inviting property features three s",30.2590644,-97.6858686,https://www.redfin.com/TX/Austin/1124-Emmitt-Run-78721/home/31063003,https://ssl.cdn-redfin.com/photo/rent/cb64ee6a-f311-46da-bdd3-9cc2e5bb466f/islphoto/genIsl.0_1.jpg,1124 Emmitt Run, Austin,TX,78721
115,"11537 Timber Heights Dr, Austin, TX 78754","$1,995/mo",3 beds,2 baths,"1,889 sq ft","Welcome to Texan Pearl in the heart of UT's West Campus located in the vibrant city of Austin, TX. These modern apartments offer a convenient and comfortable living experience. We have a broad selecti",30.3763506,-97.6526893,https://www.redfin.com/TX/Austin/11537-Timber-Heights-Dr-78754/home/31019077,https://ssl.cdn-redfin.com/photo/rent/cb64ee6a-f311-46da-bdd3-9cc2e5bb466f/islphoto/genIsl.1_1.jpg,11537 Timber Heights Dr, Austin,TX,78754
116,"5608 Steven Creek Way, Austin, TX 78721","$3,000/mo",3 beds,2.5 baths,"1,914 sq ft","Spacious 4 bedroom, two-story home in Steiner Ranch with a large backyard with two access staircases. Stainless steel appliances double oven, formal dining and high ceilings. A must see!",30.2586239,-97.6870804,https://www.redfin.com/TX/Austin/5608-Steven-Creek-Way-78721/home/31063219,https://ssl.cdn-redfin.com/photo/rent/cb64ee6a-f311-46da-bdd3-9cc2e5bb466f/islphoto/genIsl.35_1.jpg,5608 Steven Creek Way, Austin,TX,78721
117,"512 Colonial Park Blvd, Austin, TX 78745","$2,795/mo",3 beds,2.5 baths,"2,030 sq ft","Open floor plan from the kitchen & family room, soaring two-story ceilings, natural light throughout. Master & 1 bedroom are down, 3 bedrooms & game room up. Huge private backyard w/covered patio, res",30.2102527,-97.7611205,https://www.redfin.com/TX/Austin/512-Colonial-Park-Blvd-78745/home/31065833,https://ssl.cdn-redfin.com/photo/rent/e8d89a76-6741-41ff-9408-54775e3b0736/islphoto/genIsl.0_1.jpg,512 Colonial Park Blvd, Austin,TX,78745
118,"504 Colonial Park Blvd, Austin, TX 78745","$2,600/mo",3 beds,2.5 baths,"2,074 sq ft","Discover pure luxury in this captivating 5-bedroom executive residence. Step onto the covered front porch and enter a world of grandeur, with soaring ceilings, exquisite flooring, and a stunning curve",30.2108324,-97.7609005,https://www.redfin.com/TX/Austin/504-Colonial-Park-Blvd-78745/home/31065836,https://ssl.cdn-redfin.com/photo/rent/d7c8427d-2e6b-4377-ae4c-a95377228b47/islphoto/genIsl.0_1.jpg,504 Colonial Park Blvd, Austin,TX,78745
119,"2515 Pearl St Unit 507, Austin, TX 78705","$2,070/mo",2 beds,2 baths,796 sq ft,"Welcome to an unparalleled custom designer showcase home, where sophistication meets innovation! Just minutes from Lake Travis, this exceptional residence boasts 3 spacious bedrooms and 4 luxurious fu",30.2904944,-97.7461248,https://www.redfin.com/TX/Austin/2515-Pearl-St-78705/unit-507/home/191112931,https://ssl.cdn-redfin.com/photo/rent/d7c8427d-2e6b-4377-ae4c-a95377228b47/islphoto/genIsl.1_1.jpg,2515 Pearl St Unit 507, Austin,TX,78705
120,"913 Cavalry Ride Trl, Austin, TX 78732","$3,800/mo",4 beds,2.5 baths,"3,119 sq ft","Great 3 bedroom 2 bath home. Approx 1704 sqft of living space. Open and bright. Neighborhood park amenities, swimming pool, hike bike trails w/ exercise stations, picnic area, and playscape. JUST 6 mi",30.3532477,-97.9037431,https://www.redfin.com/TX/Austin/913-Cavalry-Ride-Trl-78732/home/31074931,https://ssl.cdn-redfin.com/photo/rent/d7c8427d-2e6b-4377-ae4c-a95377228b47/islphoto/genIsl.39_1.jpg,913 Cavalry Ride Trl, Austin,TX,78732
121,"13229 Bright Sky Overlook, Austin, TX 78732","$5,500/mo",5 beds,4.5 baths,"3,818 sq ft","Everything you are looking for and more.  3 bedroom/3 bathroom 2 story home available now.  Arches and art niches provide areas for you to display your creative designs in this lovely home.  Living, d",30.3624649,-97.9098997,https://www.redfin.com/TX/Austin/13229-Bright-Sky-Overlook-78732/home/31075163,https://ssl.cdn-redfin.com/photo/rent/09a91eb4-745d-4967-802f-d12d4dc9afb2/islphoto/genIsl.0_1.jpg,13229 Bright Sky Overlook, Austin,TX,78732
122,"12721 Capella Trl, Austin, TX 78732","$4,500/mo",5 beds,4.5 baths,"3,802 sq ft","Charming and quaint, 24 Flats is located in the Clarksville neighborhood. You will love living at one of our 24 apartments, located on the same block as two highly rated restaurants- Josephine House a",30.3621373,-97.9077862,https://www.redfin.com/TX/Austin/12721-Capella-Trl-78732/home/31075217,https://ssl.cdn-redfin.com/photo/rent/09a91eb4-745d-4967-802f-d12d4dc9afb2/islphoto/genIsl.1_1.jpg,12721 Capella Trl, Austin,TX,78732
123,"2602 Penny Ln Unit 107, Austin, TX 78757","$1,075/mo",1 bed,1 bath,564 sq ft,"Four bedroom two and a half bathroom two story in Austin's Pioneer Crossing available for immediate move in! Large primary bedroom with garden tub, walk in shower and closet. Downstairs, you will find",30.3659988,-97.7307645,https://www.redfin.com/TX/Austin/2602-Penny-Ln-78757/unit-107/home/191225483,https://ssl.cdn-redfin.com/photo/rent/09a91eb4-745d-4967-802f-d12d4dc9afb2/islphoto/genIsl.25_1.jpg,2602 Penny Ln Unit 107, Austin,TX,78757
124,"13229 Villa Montana Way, Austin, TX 78732","$6,995/mo",3 beds,3 baths,"3,827 sq ft","Come see Today our beautiful 2 Story corner House available to move in immediately located in North Austin. Great location, pet friendly, 2 car garage, W/D hookups, plenty of storage, with access to t",30.4128561,-97.8735036,https://www.redfin.com/TX/Austin/13229-Villa-Montana-Way-78732/home/31078508,https://ssl.cdn-redfin.com/photo/rent/a0afbfdf-1eba-4512-81a9-74d4d862f719/islphoto/genIsl.0_2.jpg,13229 Villa Montana Way, Austin,TX,78732
125,"9029 Quick Stream Dr, Austin, TX 78724","$2,100/mo",3 beds,2 baths,"1,704 sq ft","No carpet in this updated home with luxury vinyl plank flooring in bedrooms and living areas. Stainless steel refrigerator, gas range, dishwasher. Granite counters in kitchen and baths. Covered patio ",30.2768387,-97.6313011,https://www.redfin.com/TX/Austin/9029-Quick-Stream-Dr-78724/home/31085615,https://ssl.cdn-redfin.com/photo/rent/a0afbfdf-1eba-4512-81a9-74d4d862f719/islphoto/genIsl.1_2.jpg,9029 Quick Stream Dr, Austin,TX,78724
126,"11361 Sprinkle Cutoff Rd, Austin, TX 78754","$2,150/mo",3 beds,3 baths,"1,424 sq ft","This charming 3-bed, 2-bath home is filled with natural light and features vinyl wood floors throughout and updated lighting fixtures in the bedrooms and bathrooms. The kitchen features a gas stove an",30.3697195,-97.6559134,https://www.redfin.com/TX/Austin/11361-Sprinkle-Cutoff-Rd-78754/home/31088223,https://ssl.cdn-redfin.com/photo/rent/a0afbfdf-1eba-4512-81a9-74d4d862f719/islphoto/genIsl.27_2.jpg,11361 Sprinkle Cutoff Rd, Austin,TX,78754
127,"1515 Palma Plz Unit 24F-204, Austin, TX 78703","$1,206/mo",0 beds,1 bath,400 sq ft,"Apply for this rental with RentSpree: https://apply.link/3WheJdE Property Representative: Nidia Lucio Come and see this beautiful two-story 3 bedroom 2.5 bath, game room on 2nd floor in desirable neig",30.281479,-97.7579998,https://www.redfin.com/TX/Austin/1515-Palma-Plz-78703/unit-24F-204/home/191248833,https://ssl.cdn-redfin.com/photo/rent/cb64ee6a-f311-46da-bdd3-9cc2e5bb466f/islphoto/genIsl.0_1.jpg,1515 Palma Plz Unit 24F-204, Austin,TX,78703
128,"10701 Sorghum Hill Cv, Austin, TX 78754","$2,395/mo",4 beds,2.5 baths,"2,282 sq ft","This beautifully updated one-story home will be available for lease starting August 1st, featuring a new roof, new LVP flooring throughout, and a freshly painted interior. This home has an open floor ",30.3695798,-97.6571417,https://www.redfin.com/TX/Austin/10701-Sorghum-Hill-Cv-78754/home/31088313,https://ssl.cdn-redfin.com/photo/rent/cb64ee6a-f311-46da-bdd3-9cc2e5bb466f/islphoto/genIsl.1_1.jpg,10701 Sorghum Hill Cv, Austin,TX,78754
129,"11501 Flushwing Dr, Austin, TX 78754","$2,295/mo",4 beds,3 baths,"2,099 sq ft","Fresh paint! New light fixtures and fans throughout. Nice sized backyard for family or pets. Must make 2.5x rent amount, and no late payments on credit report.",30.3746637,-97.6491642,https://www.redfin.com/TX/Austin/11501-Flushwing-Dr-78754/home/31088333,https://ssl.cdn-redfin.com/photo/rent/cb64ee6a-f311-46da-bdd3-9cc2e5bb466f/islphoto/genIsl.35_1.jpg,11501 Flushwing Dr, Austin,TX,78754
130,"11505 Oltons Bluff Cv, Austin, TX 78754","$2,175/mo",3 beds,2 baths,"1,617 sq ft","The largest bedrooms in west campus - easy walk to UT campus! Heated pool with giant hot tub! All utilities will be allocated, no need to set anything up! Full Washer & Dryer in unit. Parking addition",30.3743223,-97.6481933,https://www.redfin.com/TX/Austin/11505-Oltons-Bluff-Cv-78754/home/31088355,https://ssl.cdn-redfin.com/photo/rent/e8d89a76-6741-41ff-9408-54775e3b0736/islphoto/genIsl.0_1.jpg,11505 Oltons Bluff Cv, Austin,TX,78754
131,"8513 Maine Dr, Austin, TX 78758","$2,300/mo",3 beds,2 baths,"1,149 sq ft","This beautiful Austin's Colony corner lot home boasts large front and back yard. 3/2.5 - all beds up. The kitchen opens to the living room and has a breakfast bar, as well as a large breakfast area. O",30.3578573,-97.7106337,https://www.redfin.com/TX/Austin/8513-Maine-Dr-78758/home/31493718,https://ssl.cdn-redfin.com/photo/rent/d7c8427d-2e6b-4377-ae4c-a95377228b47/islphoto/genIsl.0_1.jpg,8513 Maine Dr, Austin,TX,78758
132,"5700 Colinton Ave, Austin, TX 78754","$2,200/mo",3 beds,2.5 baths,"1,856 sq ft","No need to keep looking, this home is the ONE! Recently remodeled home, near Tesla, in Del Valle. This home has the perfect floor plan with a mother-in-law suite and a full bathroom downstairs. The fl",30.3730987,-97.6123804,https://www.redfin.com/TX/Austin/5700-Colinton-Ave-78754/home/31091159,https://ssl.cdn-redfin.com/photo/rent/d7c8427d-2e6b-4377-ae4c-a95377228b47/islphoto/genIsl.1_1.jpg,5700 Colinton Ave, Austin,TX,78754
133,"5700 Brougham Way, Austin, TX 78754","$2,200/mo",4 beds,2 baths,"1,429 sq ft","Welcome to 3800 Autumn Bay, Austin, TX 78744! Available for move-in on July 1st, this beautiful, quality-built, energy-efficient 2-story Lennar home is designed to impress. Featuring a spacious floor ",30.3721119,-97.6136881,https://www.redfin.com/TX/Austin/5700-Brougham-Way-78754/home/31091168,https://ssl.cdn-redfin.com/photo/rent/d7c8427d-2e6b-4377-ae4c-a95377228b47/islphoto/genIsl.39_1.jpg,5700 Brougham Way, Austin,TX,78754
134,"15100 Parrish Ln, Austin, TX 78725","$1,895/mo",3 beds,2 baths,"1,496 sq ft","Beautiful one story, 3bed/2bath home with large backyard. The house is very open and bright on a quiet street in exemplary Lake Travis ISD. The primary bedroom has a separate access to the backyard, a",30.2386263,-97.5803851,https://www.redfin.com/TX/Austin/15100-Parrish-Ln-78725/home/31096492,https://ssl.cdn-redfin.com/photo/rent/09a91eb4-745d-4967-802f-d12d4dc9afb2/islphoto/genIsl.0_1.jpg,15100 Parrish Ln, Austin,TX,78725
135,"2408 Leon St Unit 104, Austin, TX 78705","$1,600/mo",2 beds,2 baths,820 sq ft,"Uplift Alpha was designed to give young working males on their own grind a very nice, affordable, and safe place to live while they stabilize and get their money right. Transitioning jobs? Graduating ",30.2890368,-97.7497764,https://www.redfin.com/TX/Austin/2408-Leon-St-78705/unit-104/home/185860930,https://ssl.cdn-redfin.com/photo/rent/09a91eb4-745d-4967-802f-d12d4dc9afb2/islphoto/genIsl.1_1.jpg,2408 Leon St Unit 104, Austin,TX,78705
136,"601 Silver Wing Dr, Austin, TX 78725","$2,300/mo",3 beds,2.5 baths,"1,996 sq ft",Great opportunity to own a South East Austin Charmer! Exceptional value in this well maintained single story home located in Del Valle on a corner lot with spacious yard for entertaining family or fri,30.2383397,-97.5808582,https://www.redfin.com/TX/Austin/601-Silver-Wing-Dr-78725/home/31099735,https://ssl.cdn-redfin.com/photo/rent/09a91eb4-745d-4967-802f-d12d4dc9afb2/islphoto/genIsl.25_1.jpg,601 Silver Wing Dr, Austin,TX,78725
137,"6720 Panda Royle Dr, Del Valle, TX 78617","$2,250/mo",4 beds,3 baths,"2,322 sq ft","Life. Well Lived. Take a look at this beautiful home featuring 4 bedrooms, 2 bathrooms, and approximately 1,586 square feet. Enjoy the freedom of a virtually maintenance free lifestyle while residing ",30.1609164,-97.6395047,https://www.redfin.com/TX/Del-Valle/6720-Panda-Royle-Dr-78617/home/31101313,https://ssl.cdn-redfin.com/photo/rent/a0afbfdf-1eba-4512-81a9-74d4d862f719/islphoto/genIsl.0_2.jpg,6720 Panda Royle Dr, Del Valle,TX,78617
138,"3800 Autumn Bay Dr, Austin, TX 78744","$2,450/mo",4 beds,2.5 baths,"2,009 sq ft","3 bed and 2 bath beautiful single family home in heart of south austin. House come with large living area, kitchen with stainless steel appliances and quartz counter. This home includes many smart hom",30.1992041,-97.6965911,https://www.redfin.com/TX/Austin/3800-Autumn-Bay-Dr-78744/home/31101568,https://ssl.cdn-redfin.com/photo/rent/a0afbfdf-1eba-4512-81a9-74d4d862f719/islphoto/genIsl.1_2.jpg,3800 Autumn Bay Dr, Austin,TX,78744
139,"15113 N Flamingo Dr, Austin, TX 78734","$2,495/mo",3 beds,2 baths,"1,732 sq ft","Welcome to this stunning mid-century modern residence. Nestled within the serene woodlands of Westlake, this home boasts 4 bedrooms, 2 Full bathrooms, open floorplan with Vaulted Ceilings. Abundant na",30.3623057,-97.9482991,https://www.redfin.com/TX/Austin/15113-N-Flamingo-Dr-78734/home/31278316,https://ssl.cdn-redfin.com/photo/rent/a0afbfdf-1eba-4512-81a9-74d4d862f719/islphoto/genIsl.27_2.jpg,15113 N Flamingo Dr, Austin,TX,78734
140,"12708 La Paz Ln, Del Valle, TX 78617",$850/mo,1 bed,1 bath,— sq ft,"Available August 10th!  This stunning, remodeled home in Southwest Austin features a sprawling one-story floor plan with a dedicated study, 4 large bedrooms, 3.5 bathrooms, a bonus room, and a private",30.1660153,-97.6261019,https://www.redfin.com/TX/Del-Valle/12708-La-Paz-Ln-78617/home/31101586,https://ssl.cdn-redfin.com/photo/rent/cb64ee6a-f311-46da-bdd3-9cc2e5bb466f/islphoto/genIsl.0_1.jpg,12708 La Paz Ln, Del Valle,TX,78617
141,"12201 Sky Harbor Dr, Del Valle, TX 78617","$1,900/mo",3 beds,2 baths,"1,203 sq ft","Don't miss this gorgeous one-story Austin home in the Lantana subdivision. This beauty features high ceilings, a spacious living room with a stone fireplace, large windows with shutter lets in natural",30.1698868,-97.6312134,https://www.redfin.com/TX/Del-Valle/12201-Sky-Harbor-Dr-78617/home/31101654,https://ssl.cdn-redfin.com/photo/rent/cb64ee6a-f311-46da-bdd3-9cc2e5bb466f/islphoto/genIsl.1_1.jpg,12201 Sky Harbor Dr, Del Valle,TX,78617
142,"12529 Sky Harbor Dr, Del Valle, TX 78617","$1,889/mo",4 beds,2 baths,"1,586 sq ft","Immaculate 4 bed, 2 bath home less than 5 miles from Tesla and close proximity to Highway 130. This home was recently remodeled to include designer touches, including upgraded flooring, fresh paint, b",30.1679077,-97.6271687,https://www.redfin.com/TX/Del-Valle/12529-Sky-Harbor-Dr-78617/home/31101749,https://ssl.cdn-redfin.com/photo/rent/cb64ee6a-f311-46da-bdd3-9cc2e5bb466f/islphoto/genIsl.35_1.jpg,12529 Sky Harbor Dr, Del Valle,TX,78617
